fold,test_case,test_seed,model,repeat,effective_conductivity_W_mK,random_mean_k_eff_W_mK,heat_path_k_eff_W_mK,teacher_best_k_eff_W_mK,improvement_vs_random_percent,recovered_optimizer_gain_fraction,difference_vs_heat_path_percent,difference_vs_teacher_percent,outperforms_heat_path,selected_count,jaccard_with_teacher_best,inference_time_s,training_time_s,best_epoch
3,packing_seed_37811,37811,gnn,2,0.15621346128053995,0.11316568628849416,0.12509606566159645,0.18101715679338773,38.039600521931845,0.6344412976125714,24.87479958252301,-13.702400342724763,1,50,0.21951219512195122,0.0011860679369419813,13.253888151841238,143
3,packing_seed_37811,37811,gnn,3,0.14548014787776253,0.11316568628849416,0.12509606566159645,0.18101715679338773,28.55499988476089,0.47625292935895613,16.294742850912726,-19.63184570188946,1,50,0.21951219512195122,0.001160594169050455,18.41233283211477,147
3,packing_seed_37811,37811,gnn,ensemble,0.15638848645023,0.11316568628849416,0.12509606566159645,0.18101715679338773,38.194263278311794,0.6370208315325834,25.01471219189597,-13.605710519069081,1,50,0.21951219512195122,0.0036812631879001856,45.90355022996664,139.66666666666666
4,packing_seed_46549,46549,mlp,1,0.12972776996815985,0.1121647598751567,0.12153241233901685,0.16918459118522747,15.658224662141107,0.3080158199258158,6.743351400186071,-23.32175816996792,1,50,0.19047619047619047,0.00010740198194980621,4.019551069010049,243
4,packing_seed_46549,46549,mlp,2,0.12911761747661096,0.1121647598751567,0.12153241233901685,0.16918459118522747,15.114245882863187,0.29731511321500653,6.241302210339605,-23.682401232834604,1,50,0.20481927710843373,0.00011675199493765831,3.3949387269094586,211
4,packing_seed_46549,46549,mlp,3,0.12934021813606034,0.1121647598751567,0.12153241233901685,0.16918459118522747,15.312704525040232,0.3012190297004637,6.424463767956379,-23.550828577257676,1,50,0.20481927710843373,0.00011819903738796711,4.369898620992899,325
4,packing_seed_46549,46549,mlp,ensemble,0.12938588336095952,0.1121647598751567,0.12153241233901685,0.16918459118522747,15.353417156128657,0.3020198953615853,6.462038291509642,-23.52383721558622,1,50,0.20481927710843373,0.00034235301427543163,11.784388416912407,259.6666666666667
4,packing_seed_46549,46549,gnn,1,0.14356048314303416,0.1121647598751567,0.12153241233901685,0.16918459118522747,27.99071945843061,0.5506105954110808,18.12526418266891,-15.145651186483889,1,50,0.28205128205128205,0.001165315043181181,8.33656994602643,59
4,packing_seed_46549,46549,gnn,2,0.14377077721911283,0.1121647598751567,0.12153241233901685,0.16918459118522747,28.178206220148596,0.5542986820161623,18.29829956642486,-15.021352587772585,1,50,0.2987012987012987,0.001327581936493516,7.150776739930734,69
4,packing_seed_46549,46549,gnn,3,0.1394535359549674,0.1121647598751567,0.12153241233901685,0.16918459118522747,24.32918869543701,0.4785839497036708,14.74596222607616,-17.573146006960982,1,50,0.25,0.0013582860119640827,6.6722369329072535,55
4,packing_seed_46549,46549,gnn,ensemble,0.14337043337725464,0.1121647598751567,0.12153241233901685,0.16918459118522747,27.821281422820277,0.5472775486199383,17.968886338995915,-15.257983973085853,1,50,0.28205128205128205,0.0038511829916387796,22.159583618864417,61.0
5,packing_seed_55291,55291,mlp,1,0.13278840435615125,0.11329851166994748,0.12601608422575022,0.18219071624693065,17.202249525554425,0.2829041806090689,5.374171219499901,-27.115713088158888,1,50,0.21951219512195122,0.00011169002391397953,2.142698778072372,116
5,packing_seed_55291,55291,mlp,2,0.1352561957237692,0.11329851166994748,0.12601608422575022,0.18219071624693065,19.3803817280382,0.3187252344245313,7.332485813053746,-25.761203144703128,1,50,0.25,0.00011301389895379543,2.267221244983375,132
5,packing_seed_55291,55291,mlp,3,0.13624796953333917,0.11329851166994748,0.12601608422575022,0.18219071624693065,20.255745221302025,0.33312125812067706,8.119507418798344,-25.216842910548397,1,50,0.21951219512195122,0.00011172797530889511,3.6503432400058955,241
5,packing_seed_55291,55291,mlp,ensemble,0.1344519312257234,0.11329851166994748,0.12601608422575022,0.18219071624693065,18.670518477240417,0.30705098908742534,6.6942621267781055,-26.20264413281348,1,50,0.2345679012345679,0.0003364318981766701,8.060263263061643,163.0
5,packing_seed_55291,55291,gnn,1,0.15016946711586882,0.11329851166994748,0.12601608422575022,0.18219071624693065,32.543194877379314,0.5351977872143737,19.166904795144447,-17.575675528747638,1,50,0.3888888888888889,0.0013245500158518553,9.522404412040487,67
5,packing_seed_55291,55291,gnn,2,0.14764981310819988,0.11329851166994748,0.12601608422575022,0.18219071624693065,30.31928745747514,0.4986239248573728,17.167434629768486,-18.95865159886415,1,50,0.3698630136986301,0.0013470971025526524,9.664469992974773,73
5,packing_seed_55291,55291,gnn,3,0.14627702228386696,0.11329851166994748,0.12601608422575022,0.18219071624693065,29.10762915402627,0.47869727520575794,16.078057164369987,-19.71214269468503,1,50,0.3888888888888889,0.001287729013711214,8.08520791400224,70
5,packing_seed_55291,55291,gnn,ensemble,0.14777592975543496,0.11329851166994748,0.12601608422575022,0.18219071624693065,30.430601053193396,0.5004545622714237,17.267514431493748,-18.88942927522821,1,50,0.3698630136986301,0.003959376132115722,27.2720823190175,70.0
6,packing_seed_64109,64109,mlp,1,0.13177976722425264,0.10561517617477682,0.12017572643697158,0.16894686215059884,24.773514562128305,0.4131358678729097,9.655894023962496,-21.999280988844617,1,50,0.25,0.0001090620644390583,2.546231489861384,147
6,packing_seed_64109,64109,mlp,2,0.13177976722425264,0.10561517617477682,0.12017572643697158,0.16894686215059884,24.773514562128305,0.4131358678729097,9.655894023962496,-21.999280988844617,1,50,0.25,0.00010582688264548779,2.9800264150835574,188
6,packing_seed_64109,64109,mlp,3,0.13190127197646612,0.10561517617477682,0.12017572643697158,0.16894686215059884,24.888559346991812,0.41505441386361436,9.756999925974409,-21.927362072644108,1,50,0.25,0.0001162190455943346,2.308173178927973,131
6,packing_seed_64109,64109,mlp,ensemble,0.13190127197646612,0.10561517617477682,0.12017572643697158,0.16894686215059884,24.888559346991812,0.41505441386361436,9.756999925974409,-21.927362072644108,1,50,0.25,0.0003311079926788807,7.834431083872914,155.33333333333334
6,packing_seed_64109,64109,gnn,1,0.1317963709021531,0.10561517617477682,0.12017572643697158,0.16894686215059884,24.789235482645445,0.41339803802746394,9.669710189999293,-21.989453237272837,1,50,0.20481927710843373,0.0013169711455702782,12.35759583604522,144
6,packing_seed_64109,64109,gnn,2,0.13705950999486227,0.10561517617477682,0.12017572643697158,0.16894686215059884,29.77255254306439,0.49650239584794686,14.049246098583579,-18.8741902334429,1,50,0.21951219512195122,0.0013673501089215279,11.892514863982797,82
6,packing_seed_64109,64109,gnn,3,0.13554898525110753,0.10561517617477682,0.12017572643697158,0.16894686215059884,28.342336925892987,0.472651384770626,12.792316110690404,-19.768272979062797,1,50,0.19047619047619047,0.0013589528389275074,9.867421285016462,80
