fold,test_case,test_seed,model,repeat,effective_conductivity_W_mK,random_mean_k_eff_W_mK,heat_path_k_eff_W_mK,teacher_best_k_eff_W_mK,improvement_vs_random_percent,recovered_optimizer_gain_fraction,difference_vs_heat_path_percent,difference_vs_teacher_percent,outperforms_heat_path,selected_count,jaccard_with_teacher_best,inference_time_s,training_time_s,best_epoch
2,packing_seed_29173,29173,mlp,3,0.11779589643629851,0.10194278017026465,0.11045324644557976,0.15600268073055626,15.550994626157944,0.2932509327935831,6.64774483956565,-24.49110753439392,1,50,0.2345679012345679,0.00011924793943762779,2.0753477290272713,113
2,packing_seed_29173,29173,mlp,ensemble,0.11790813400909353,0.10194278017026465,0.11045324644557976,0.15600268073055626,15.661093225202972,0.29532710333092704,6.749360298057683,-24.419161608676866,1,50,0.21951219512195122,0.0003430668730288744,7.638687639962882,143.66666666666666
2,packing_seed_29173,29173,gnn,1,0.1284741775083788,0.10194278017026465,0.11045324644557976,0.15600268073055626,26.02577376622599,0.49077776805239176,16.315438108628122,-17.64617318962869,1,50,0.26582278481012656,0.0013281719293445349,11.54780539101921,66
2,packing_seed_29173,29173,gnn,2,0.12602692854682532,0.10194278017026465,0.11045324644557976,0.15600268073055626,23.62516338708378,0.44550855859788796,14.0997957076062,-19.214895566765467,1,50,0.2987012987012987,0.0013121350202709436,15.598776825005189,101
2,packing_seed_29173,29173,gnn,3,0.13193392284463348,0.10194278017026465,0.11045324644557976,0.15600268073055626,29.419584814420084,0.5547761346863834,19.447754674768426,-15.42842582781876,1,50,0.3157894736842105,0.0013575118500739336,9.973968253936619,81
2,packing_seed_29173,29173,gnn,ensemble,0.12849367285694543,0.10194278017026465,0.11045324644557976,0.15600268073055626,26.04489758110926,0.49113839299554873,16.333088426019394,-17.633676386063946,1,50,0.2987012987012987,0.003997818799689412,37.12055046996102,82.66666666666667
3,packing_seed_37811,37811,mlp,1,0.1351541152117934,0.11316568628849416,0.12509606566159645,0.18101715679338773,19.43029697822356,0.3240670947833533,8.040260496605445,-25.33629540648582,1,50,0.20481927710843373,0.00011062109842896461,4.099771570181474,281
3,packing_seed_37811,37811,mlp,2,0.13821607842226374,0.11316568628849416,0.12509606566159645,0.18101715679338773,22.13603165000777,0.3691945354664481,10.487949953725085,-23.644763363495414,1,50,0.21951219512195122,0.00011141481809318066,2.636968886014074,151
3,packing_seed_37811,37811,mlp,3,0.13781381899543485,0.11316568628849416,0.12509606566159645,0.18101715679338773,21.78057105057889,0.363266006226984,10.166389539573384,-23.866985076594148,1,50,0.21951219512195122,0.00011159619316458702,2.776992149883881,164
3,packing_seed_37811,37811,mlp,ensemble,0.13781381899543485,0.11316568628849416,0.12509606566159645,0.18101715679338773,21.78057105057889,0.363266006226984,10.166389539573384,-23.866985076594148,1,50,0.21951219512195122,0.0003336321096867323,9.51373260607943,198.66666666666666
