case,method,overlap_floor_ratio,effective_conductivity_W_mK,change_vs_nominal_percent,energy_balance_error
packing_seed_46549,mlp,1e-06,0.2708556368108633,0.0,1.938386103231841e-12
packing_seed_46549,gnn,1e-06,0.3148885565985241,0.0,3.313511612945038e-13
packing_seed_55291,random_near_mean,1e-10,0.2322798793552138,0.0,7.053727900229811e-13
packing_seed_55291,degree,1e-10,0.22862247953429204,0.0,2.1342976805375786e-12
packing_seed_55291,heat_path,1e-10,0.2536642049065472,0.0,2.5409225794250527e-12
packing_seed_55291,swap_optimized,1e-10,0.35839950304131096,0.0,1.4231853076422147e-12
packing_seed_55291,mlp,1e-10,0.28965698002117846,0.0,1.274680628830073e-12
packing_seed_55291,gnn,1e-10,0.30487777794858717,0.0,3.081746641662205e-13
packing_seed_55291,random_near_mean,1e-08,0.2322798793552138,0.0,7.053727900229811e-13
packing_seed_55291,degree,1e-08,0.22862247953429204,0.0,2.1342976805375786e-12
packing_seed_55291,heat_path,1e-08,0.2536642049065472,0.0,2.5409225794250527e-12
packing_seed_55291,swap_optimized,1e-08,0.35839950304131096,0.0,1.4231853076422147e-12
packing_seed_55291,mlp,1e-08,0.28965698002117846,0.0,1.274680628830073e-12
packing_seed_55291,gnn,1e-08,0.30487777794858717,0.0,3.081746641662205e-13
packing_seed_55291,random_near_mean,1e-06,0.23227988627690813,2.9798940648362304e-06,5.1017145338646516e-14
packing_seed_55291,degree,1e-06,0.2286224795397074,2.368683027498264e-09,1.2567106094830206e-12
packing_seed_55291,heat_path,1e-06,0.2536642049137139,2.825273348605606e-09,3.868889427312522e-12
packing_seed_55291,swap_optimized,1e-06,0.358399504591964,4.326604852167293e-07,1.712577334245888e-12
packing_seed_55291,mlp,1e-06,0.28965698029375014,9.410154877542709e-08,1.135776869799136e-13
packing_seed_55291,gnn,1e-06,0.3048777783479111,1.309783614900084e-07,2.361746972739767e-13
packing_seed_64109,random_near_mean,1e-10,0.2216441412832808,0.0,7.212715173604651e-13
packing_seed_64109,degree,1e-10,0.2204002933078917,0.0,7.691237534618504e-13
packing_seed_64109,heat_path,1e-10,0.23423184403431305,0.0,2.498280987702788e-13
packing_seed_64109,swap_optimized,1e-10,0.3416668231921001,0.0,6.847545901369749e-13
packing_seed_64109,mlp,1e-10,0.26679984781358673,0.0,1.0755084918329642e-12
packing_seed_64109,gnn,1e-10,0.27133202937880324,0.0,1.3763667224832295e-12
packing_seed_64109,random_near_mean,1e-08,0.2216441412832808,0.0,7.212715173604651e-13
packing_seed_64109,degree,1e-08,0.2204002933078917,0.0,7.691237534618504e-13
packing_seed_64109,heat_path,1e-08,0.23423184403431305,0.0,2.498280987702788e-13
packing_seed_64109,swap_optimized,1e-08,0.3416668231921001,0.0,6.847545901369749e-13
packing_seed_64109,mlp,1e-08,0.26679984781358673,0.0,1.0755084918329642e-12
packing_seed_64109,gnn,1e-08,0.27133202937880324,0.0,1.3763667224832295e-12
packing_seed_64109,random_near_mean,1e-06,0.22164473355994518,0.00026721963457543296,2.44119077429357e-12
packing_seed_64109,degree,1e-06,0.22040059319116692,0.00013606301094704065,1.17288652484344e-12
packing_seed_64109,heat_path,1e-06,0.23423231537409075,0.00020122788155774174,2.0181347850438067e-12
packing_seed_64109,swap_optimized,1e-06,0.3416674246660126,0.00017604106445912038,1.0028515561590233e-12
packing_seed_64109,mlp,1e-06,0.26680053950104604,0.0002592533185463708,4.272412037700658e-13
packing_seed_64109,gnn,1e-06,0.2713326238226619,0.00021908355603006413,2.1610449199821034e-12
packing_seed_72869,random_near_mean,1e-10,0.23404772297644477,0.0,6.015539650263867e-14
packing_seed_72869,degree,1e-10,0.23590968373297702,0.0,9.687633913471101e-15
packing_seed_72869,heat_path,1e-10,0.2485467952529345,0.0,1.9934016444356019e-13
packing_seed_72869,swap_optimized,1e-10,0.354651217746143,0.0,2.3679269961223945e-12
packing_seed_72869,mlp,1e-10,0.2748787141535738,0.0,3.303728613214019e-12
packing_seed_72869,gnn,1e-10,0.2948322412994541,0.0,2.0584669798599035e-12
packing_seed_72869,random_near_mean,1e-08,0.23404772297644477,0.0,6.015539650263867e-14
packing_seed_72869,degree,1e-08,0.23590968373297702,0.0,9.687633913471101e-15
packing_seed_72869,heat_path,1e-08,0.2485467952529345,0.0,1.9934016444356019e-13
packing_seed_72869,swap_optimized,1e-08,0.354651217746143,0.0,2.3679269961223945e-12
packing_seed_72869,mlp,1e-08,0.2748787141535738,0.0,3.303728613214019e-12
packing_seed_72869,gnn,1e-08,0.2948322412994541,0.0,2.0584669798599035e-12
packing_seed_72869,random_near_mean,1e-06,0.2340479809594384,0.00011022666246418567,3.5336133039723433e-12
packing_seed_72869,degree,1e-06,0.2359103329972791,0.0002752173169806582,7.174809370585076e-13
packing_seed_72869,heat_path,1e-06,0.24854731687502327,0.00020986876465567406,1.3060385983971743e-12
packing_seed_72869,swap_optimized,1e-06,0.35465154087557504,9.111189132049446e-05,3.4705803373793873e-12
packing_seed_72869,mlp,1e-06,0.2748789553111419,8.773235455894479e-05,3.04855072792197e-12
packing_seed_72869,gnn,1e-06,0.294832845327156,0.0002048716582603305,5.315063776754481e-13
packing_seed_81647,random_near_mean,1e-10,0.23217941826241548,0.0,2.466045044025066e-12
packing_seed_81647,degree,1e-10,0.23374118347610406,0.0,3.7673589249314836e-13
packing_seed_81647,heat_path,1e-10,0.24730768743241782,0.0,1.0124189753275097e-12
packing_seed_81647,swap_optimized,1e-10,0.3444228363207201,0.0,4.474435225224769e-13
packing_seed_81647,mlp,1e-10,0.27423106659687324,0.0,1.0247576143439846e-13
packing_seed_81647,gnn,1e-10,0.3016549977840959,0.0,2.8572663415029664e-12
packing_seed_81647,random_near_mean,1e-08,0.23217941826241548,0.0,2.466045044025066e-12
packing_seed_81647,degree,1e-08,0.23374118347610406,0.0,3.7673589249314836e-13
packing_seed_81647,heat_path,1e-08,0.24730768743241782,0.0,1.0124189753275097e-12
packing_seed_81647,swap_optimized,1e-08,0.3444228363207201,0.0,4.474435225224769e-13
packing_seed_81647,mlp,1e-08,0.27423106659687324,0.0,1.0247576143439846e-13
packing_seed_81647,gnn,1e-08,0.3016549977840959,0.0,2.8572663415029664e-12
packing_seed_81647,random_near_mean,1e-06,0.23218068043962922,0.0005436214903120629,8.109116011108466e-13
packing_seed_81647,degree,1e-06,0.23374334047083323,0.0009228133001970562,6.915411762302146e-13
packing_seed_81647,heat_path,1e-06,0.24730927234941324,0.0006408684711356472,1.3278644283633023e-12
packing_seed_81647,swap_optimized,1e-06,0.34442392566580404,0.0003162813173362977,6.746856821868941e-13
packing_seed_81647,mlp,1e-06,0.27423241204235455,0.0004906247486946569,8.877073612101591e-13
packing_seed_81647,gnn,1e-06,0.3016569817788253,0.0006577032517274262,1.2901948636554477e-12
packing_seed_90439,random_near_mean,1e-10,0.23831927990218782,0.0,2.0699511110054804e-12
packing_seed_90439,degree,1e-10,0.2351648506694014,0.0,5.433859180311705e-13
packing_seed_90439,heat_path,1e-10,0.2493493020376197,0.0,2.0457130528268016e-12
packing_seed_90439,swap_optimized,1e-10,0.34575586233233463,0.0,1.5104812365341167e-12
packing_seed_90439,mlp,1e-10,0.285383830953973,0.0,9.833260843458882e-13
packing_seed_90439,gnn,1e-10,0.3093127260314777,0.0,5.022464629220389e-13
packing_seed_90439,random_near_mean,1e-08,0.23831927990218782,0.0,2.0699511110054804e-12
packing_seed_90439,degree,1e-08,0.2351648506694014,0.0,5.433859180311705e-13
packing_seed_90439,heat_path,1e-08,0.2493493020376197,0.0,2.0457130528268016e-12
packing_seed_90439,swap_optimized,1e-08,0.34575586233233463,0.0,1.5104812365341167e-12
packing_seed_90439,mlp,1e-08,0.285383830953973,0.0,9.833260843458882e-13
packing_seed_90439,gnn,1e-08,0.3093127260314777,0.0,5.022464629220389e-13
packing_seed_90439,random_near_mean,1e-06,0.23831927990218782,0.0,2.0699511110054804e-12
packing_seed_90439,degree,1e-06,0.2351648506694014,0.0,5.433859180311705e-13
packing_seed_90439,heat_path,1e-06,0.2493493020376197,0.0,2.0457130528268016e-12
packing_seed_90439,swap_optimized,1e-06,0.34575586233233463,0.0,1.5104812365341167e-12
packing_seed_90439,mlp,1e-06,0.285383830953973,0.0,9.833260843458882e-13
packing_seed_90439,gnn,1e-06,0.3093127260314777,0.0,5.022464629220389e-13
packing_seed_99223,random_near_mean,1e-10,0.2152139774964773,0.0,1.41065322370339e-12
packing_seed_99223,degree,1e-10,0.21891713831697857,0.0,2.1716938984291037e-13
packing_seed_99223,heat_path,1e-10,0.2308471363983339,0.0,1.2598776933491193e-12
packing_seed_99223,swap_optimized,1e-10,0.3276790101517193,0.0,1.7320940596939292e-12
packing_seed_99223,mlp,1e-10,0.23903662030150544,0.0,1.9997638163550293e-12
packing_seed_99223,gnn,1e-10,0.262636290645361,0.0,2.557252865767092e-12
packing_seed_99223,random_near_mean,1e-08,0.2152139774964773,0.0,1.41065322370339e-12
packing_seed_99223,degree,1e-08,0.21891713831697857,0.0,2.1716938984291037e-13
packing_seed_99223,heat_path,1e-08,0.2308471363983339,0.0,1.2598776933491193e-12
packing_seed_99223,swap_optimized,1e-08,0.3276790101517193,0.0,1.7320940596939292e-12
packing_seed_99223,mlp,1e-08,0.23903662030150544,0.0,1.9997638163550293e-12
packing_seed_99223,gnn,1e-08,0.262636290645361,0.0,2.557252865767092e-12
packing_seed_99223,random_near_mean,1e-06,0.21521397749647886,7.327471962526033e-13,1.4034426356640139e-12
packing_seed_99223,degree,1e-06,0.21891713831697857,0.0,2.1716938984291037e-13
packing_seed_99223,heat_path,1e-06,0.2308471363983339,0.0,1.2598776933491193e-12
packing_seed_99223,swap_optimized,1e-06,0.3276790101517238,1.3766765505351941e-12,1.7184894235122011e-12
packing_seed_99223,mlp,1e-06,0.23903662030150544,0.0,1.9997638163550293e-12
packing_seed_99223,gnn,1e-06,0.262636290645361,0.0,2.557252865767092e-12
packing_seed_108301,random_near_mean,1e-10,0.2325897234457322,0.0,3.2076150828948493e-12
packing_seed_108301,degree,1e-10,0.22954296714079495,0.0,8.124860941631433e-13
packing_seed_108301,heat_path,1e-10,0.24883877867165186,0.0,9.717201961860255e-14
packing_seed_108301,swap_optimized,1e-10,0.3606491252962163,0.0,2.4665504739243915e-12
packing_seed_108301,mlp,1e-10,0.27439892834999735,0.0,2.0174141401113873e-12
packing_seed_108301,gnn,1e-10,0.3161144048929665,0.0,1.0544625216813324e-12
