seed,homogeneous,random,random_sample_sd,degree,heat_path,mlp,gnn,swap_optimized,search_restart_mean,teacher_actual_solves,teacher_unique_allocations,max_energy_imbalance,random_gain_percent,random_recovery_percent,degree_gain_percent,degree_recovery_percent,heat_path_gain_percent,heat_path_recovery_percent,mlp_gain_percent,mlp_recovery_percent,gnn_gain_percent,gnn_recovery_percent,swap_optimized_gain_percent,swap_optimized_recovery_percent
108301,0.19575341495210832,0.23258886691059594,0.004467130825066681,0.22954296714079495,0.24883877867165186,0.27439892834999735,0.3161144048929665,0.3606491252962163,0.3521068599290315,14959,14848,6.888986919621665e-12,0.0,0.0,-1.3095638713317204,-2.3784894769062954,6.986538941823972,12.689269853043333,17.9759512975626,32.64874049644756,35.91123646278249,65.2236213133781,55.05863633397596,100.0
117307,0.1907017703957688,0.22705121590284016,0.004355402805189185,0.223407184574685,0.2417472563213092,0.2672523329021978,0.28759598977519524,0.3391766861579462,0.33210450925161095,14959,14813,7.496446237815759e-12,0.0,0.0,-1.6049380372904598,-3.249958568614536,6.472566271020441,13.106781523442299,17.705748387870557,35.85368864709571,26.665690219542103,53.99734220476809,49.383338384361174,100.0
126323,0.19064796758110816,0.22721437801882508,0.004685107465094281,0.2332958481188258,0.2464411277113596,0.26339593356008323,0.3135839562961448,0.3407547956296546,0.33315543453817215,14951,14819,7.385921900032394e-12,0.0,0.0,2.676534008555076,5.3562160752707,8.46194235601656,16.93383739210473,15.923972706630597,31.866674707216454,38.01237361403415,76.06945622955126,49.97061303991182,100.0
135347,0.19450575282162308,0.2313201705875992,0.0052341202470194016,0.2369809663594544,0.24254090442691667,0.2845460297033303,0.28257876592786,0.35303520859310933,0.34701385907331767,14979,14878,6.5278311801140715e-12,0.0,0.0,2.4471691152032404,4.650859798933735,4.850737318243614,9.218855798910804,23.009605682257117,43.72989565457108,22.159155083646098,42.11360911536691,52.61756365488135,100.0
144359,0.19029282121967628,0.22532359018560935,0.003950172508550098,0.22821420070428072,0.2398117749422041,0.2708661182785491,0.288242957403472,0.33854033659033156,0.32796863881662863,14952,14824,5.900046485390949e-12,0.0,0.0,1.2828707887577284,2.5531651548598164,6.429945814666005,12.796856663591997,20.212055051769905,40.225964390582604,27.924003503598136,55.57425841663148,50.24629081733536,100.0
153371,0.20125902796103057,0.2394623853557625,0.005345912303006642,0.23860868501249696,0.2579835076708057,0.27653084684063084,0.30967033988575626,0.3573692903904852,0.3527494590134174,14973,14899,5.937624041260586e-12,0.0,0.0,-0.3565070739595333,-0.7240460963792846,7.734459960184092,15.708259248759736,15.479868134528418,31.438753713323194,29.318990715676605,59.54524419864811,49.23817361108791,100.0
162389,0.19668400654380974,0.23361707096297318,0.004347087278497865,0.23409641711101317,0.24980016250907847,0.273631426103909,0.3017291728017201,0.3561051579934258,0.34375572158640244,14958,14795,7.449151050541067e-12,0.0,0.0,0.20518455524851653,0.391341035410909,6.927187075584129,13.211971823906348,17.12818116244503,32.66795662421242,29.155447227374175,55.60712350892795,52.43113721337007,100.0
171401,0.18722682934348303,0.22155856446967215,0.0034065616713771793,0.22757247135011,0.24550730760065698,0.25353663955704625,0.29294471075993384,0.33738168415592656,0.3296656363407675,14955,14808,6.171657639595359e-12,0.0,0.0,2.7143644367045194,5.192319889784113,10.809215698029595,20.676997127911935,14.433238075863851,27.609405768034392,32.21998953691241,61.63376231242509,52.276525605539724,100.0
180413,0.1856424928598726,0.2208551181154963,0.0043661561130825316,0.22297236664155223,0.23643944241431497,0.27410412982015864,0.2929698386881824,0.34443469617007993,0.3417275000122736,14957,14868,8.86916219279398e-12,0.0,0.0,0.9586594796271442,1.7132673208519724,7.056356416729659,12.61076024384487,24.110381574592154,43.088844081619115,32.652501417229395,58.35488493158138,55.95504379027234,100.0
189431,0.18873910448503103,0.22451569106209524,0.004306371663851946,0.22270451194654345,0.23910112226389213,0.2580622352789781,0.2976707672262578,0.3489244871080437,0.33760890685939104,14964,14910,7.166409512319976e-12,0.0,0.0,-0.8067049153597239,-1.4558288265106718,6.496397259718889,11.72379418928706,14.941737059974457,26.964768796969118,32.583502657696094,58.80217355141342,55.412071850042864,100.0
