method,effective_conductivity_W_mK,high_count,high_high_contact_count,high_cluster_count,largest_high_cluster_size,largest_high_cluster_fraction,spanning_high_cluster_count,largest_high_cluster_vertical_extent_ratio,high_particles_linked_to_hot_wall,high_particles_linked_to_cold_wall,high_incident_contact_heat_fraction,high_high_contact_heat_fraction,mean_vertical_alignment_high_high,heat_weighted_vertical_alignment_high_high,minimum_series_path_resistance_K_W,minimum_series_path_conductance_W_K,minimum_resistance_path_particle_count,minimum_resistance_path_high_count,minimum_resistance_path_high_fraction,minimum_resistance_path_atom_ids,relative_energy_balance_error,case
degree,0.2292657076623281,50,41,18,9,0.18,0,0.31785565741805183,0,0,0.36576585563994685,0.09767301818776926,0.549715359456669,0.6743817757095575,8939.429165066662,0.0001118639659798169,10,6,0.6,261 142 144 177 131 197 193 432 492 468,1.4288004817040108e-13,packing_seed_46549
heat_path,0.24494262860217544,50,27,29,11,0.22,0,0.6276685622302962,0,0,0.44372480713307316,0.09858399416555498,0.612923432301691,0.6899200971193755,6534.391381300291,0.0001530364408323837,9,6,0.6666666666666666,396 130 155 131 197 193 432 492 468,6.989718190214785e-13,packing_seed_46549
swap_optimized,0.3654591455210398,50,76,4,43,0.86,1,1.0167662617429343,6,5,0.5405267092319099,0.4421502956923937,0.5969037721970558,0.725493970942614,1736.9728001212018,0.0005757142540920747,9,9,1.0,396 130 155 414 488 193 432 492 468,1.83699126473466e-12,packing_seed_46549
mlp,0.2708556368108633,50,25,30,8,0.16,0,0.6276685622302962,9,4,0.4291552521212301,0.11210851298597714,0.6234915988869524,0.6872789500581318,5179.580868427021,0.00019306581466768148,9,7,0.7777777777777778,396 130 155 131 197 193 432 492 468,1.938386103231841e-12,packing_seed_46549
gnn,0.3148885565985241,50,64,9,34,0.68,1,1.015157900523214,9,4,0.4791955652244788,0.3008381048719901,0.5965848868312958,0.7114588737989936,2035.2374782524007,0.0004913431531629768,10,10,1.0,396 130 155 117 197 193 432 483 201 213,3.313511612945038e-13,packing_seed_46549
random_near_mean,0.2322798793552138,50,17,33,5,0.1,0,0.21171933023084108,3,2,0.2995509081671708,0.039774163841305346,0.4167028002762861,0.5314755265258666,9814.128593596464,0.00010189391655744976,9,4,0.4444444444444444,424 418 434 421 456 482 490 475 487,7.053727900229811e-13,packing_seed_55291
degree,0.22862247953429204,50,34,21,13,0.26,0,0.37363078884432144,0,0,0.35706192106193974,0.06829550321438638,0.4306302147801004,0.5548348991198783,9853.395372112767,0.00010148785898008473,11,6,0.5454545454545454,170 438 422 401 287 319 328 339 355 331 478,2.1342976805375786e-12,packing_seed_55291
heat_path,0.2536642049065472,50,25,27,7,0.14,0,0.3747631603109076,0,1,0.4369125111449142,0.09517339830148148,0.6330668487379427,0.7567889326422069,6383.368931547942,0.0001566570898100204,9,6,0.6666666666666666,408 277 401 433 376 466 373 332 333,2.5409225794250527e-12,packing_seed_55291
swap_optimized,0.35839950304131096,50,56,5,19,0.38,3,1.0193668054367546,6,5,0.5101853845464371,0.3667011432249173,0.6859325026769197,0.7618443484010499,1358.4677610506742,0.0007361234684189885,8,8,1.0,437 419 382 425 477 451 497 465,1.4231853076422147e-12,packing_seed_55291
mlp,0.28965698002117846,50,19,32,4,0.08,0,0.23668060807358973,11,10,0.39007660822804446,0.09941731355311102,0.6502042089009537,0.8244847987571656,7096.166831998422,0.00014092115133070794,10,7,0.7,408 277 401 287 319 299 379 355 359 478,1.274680628830073e-12,packing_seed_55291
gnn,0.30487777794858717,50,56,13,12,0.24,0,0.5000597651746216,6,7,0.4127655373466373,0.21230772738361434,0.6752697655648017,0.7877444455384264,5289.511100431253,0.00018905338905867314,10,8,0.8,271 276 281 268 319 299 361 364 331 478,3.081746641662205e-13,packing_seed_55291
random_near_mean,0.2216441412832808,50,14,36,4,0.08,0,0.22548779369897642,7,1,0.2943805484656447,0.029997055675691744,0.409577259115275,0.5717566632245419,11368.74801834191,8.796043314414547e-05,10,5,0.5,135 409 432 434 419 450 209 215 250 108,7.212715173604651e-13,packing_seed_64109
degree,0.2204002933078917,50,41,19,12,0.24,0,0.37492104879230953,0,0,0.3520918674702794,0.08138210038107828,0.4712961949680753,0.6097861202802909,10281.018298863,9.726662971804964e-05,8,2,0.25,422 436 424 437 484 487 489 474,7.691237534618504e-13,packing_seed_64109
heat_path,0.23423184403431305,50,27,25,7,0.14,0,0.23558139380554569,0,0,0.42477808850290993,0.06953449373100505,0.5609846284239859,0.6617476228773509,7300.5694455649145,0.00013697561641681232,8,4,0.5,422 436 424 418 484 335 456 472,2.498280987702788e-13,packing_seed_64109
swap_optimized,0.3416668231921001,50,61,5,29,0.58,2,1.0201483300462812,5,6,0.5027221266584675,0.38014988293719515,0.6642532128344579,0.7482045327769237,1376.4067608027947,0.0007265294159240732,8,8,1.0,422 436 424 418 484 335 456 472,6.847545901369749e-13,packing_seed_64109
mlp,0.26679984781358673,50,27,27,12,0.24,0,0.3222390010591677,11,9,0.3690144331962802,0.09628511923761573,0.5952854239322647,0.7104832144362376,6607.349215747009,0.0001513466243946579,9,6,0.6666666666666666,427 393 436 424 418 484 335 456 472,1.0755084918329642e-12,packing_seed_64109
gnn,0.27133202937880324,50,47,16,19,0.38,0,0.49048361411103286,14,4,0.3486293353566615,0.16160402134180565,0.62350842487628,0.766084807045984,7446.479028180221,0.00013429165599146005,8,4,0.5,422 436 424 418 484 487 489 474,1.3763667224832295e-12,packing_seed_64109
random_near_mean,0.23404772297644477,50,13,37,5,0.1,0,0.396457668416318,4,2,0.3065344329598248,0.04356858461865529,0.6909572358413831,0.7468996994575753,7402.330885705796,0.0001350925830579988,8,4,0.5,423 436 411 492 443 483 473 461,6.015539650263867e-14,packing_seed_72869
