proposal,best_k_eff_W_mK,accepted_swaps
142,0.1544790194174787,13
143,0.1544790194174787,13
144,0.1544790194174787,13
145,0.1544790194174787,13
146,0.1544790194174787,13
147,0.1544790194174787,13
148,0.1544790194174787,13
149,0.1544790194174787,13
150,0.1544790194174787,13
151,0.1544790194174787,13
152,0.1544790194174787,13
153,0.1544790194174787,13
154,0.15470552485057132,14
155,0.15470552485057132,14
156,0.15470552485057132,14
157,0.15497675401716213,15
158,0.15497675401716213,15
159,0.15497675401716213,15
160,0.15497675401716213,15
161,0.15497675401716213,15
162,0.15497675401716213,15
163,0.15497675401716213,15
164,0.15497675401716213,15
165,0.15497675401716213,15
166,0.15497675401716213,15
167,0.15497675401716213,15
168,0.15497675401716213,15
169,0.15497675401716213,15
170,0.15497675401716213,15
171,0.15497675401716213,15
172,0.15497675401716213,15
173,0.15497675401716213,15
174,0.15497675401716213,15
175,0.15497675401716213,15
176,0.15497675401716213,15
177,0.15497675401716213,15
178,0.15497675401716213,15
179,0.15497675401716213,15
180,0.15497675401716213,15
181,0.15585266677113718,16
182,0.15585266677113718,16
183,0.15585266677113718,16
184,0.15585266677113718,16
185,0.15585266677113718,16
186,0.15585266677113718,16
187,0.15585266677113718,16
188,0.15585266677113718,16
189,0.15585266677113718,16
190,0.15585266677113718,16
191,0.15585266677113718,16
192,0.15585266677113718,16
193,0.15585266677113718,16
194,0.15585266677113718,16
195,0.15585266677113718,16
196,0.15585266677113718,16
197,0.15585266677113718,16
198,0.15585266677113718,16
199,0.15585266677113718,16
200,0.15585266677113718,16
201,0.15585266677113718,16
202,0.15585266677113718,16
203,0.15585266677113718,16
204,0.15585266677113718,16
205,0.15585266677113718,16
206,0.15585266677113718,16
207,0.15585266677113718,16
208,0.15585266677113718,16
209,0.15585266677113718,16
210,0.15649363164535204,17
211,0.15649363164535204,17
212,0.15649363164535204,17
213,0.15649363164535204,17
214,0.15649363164535204,17
215,0.15649363164535204,17
216,0.15649363164535204,17
217,0.15649363164535204,17
218,0.15649363164535204,17
219,0.15649363164535204,17
220,0.15649363164535204,17
221,0.15649363164535204,17
222,0.15649363164535204,17
223,0.15649363164535204,17
224,0.15649363164535204,17
225,0.15649363164535204,17
226,0.15649363164535204,17
227,0.15649363164535204,17
228,0.16054690466142035,18
229,0.16075442285100483,19
230,0.16075442285100483,19
231,0.16075442285100483,19
232,0.16075442285100483,19
233,0.16075442285100483,19
234,0.16075442285100483,19
235,0.16075442285100483,19
236,0.16075442285100483,19
237,0.16075442285100483,19
238,0.16075442285100483,19
239,0.16075442285100483,19
240,0.16075442285100483,19
241,0.16075442285100483,19
242,0.16075442285100483,19
243,0.16075442285100483,19
244,0.16075442285100483,19
245,0.16075442285100483,19
246,0.16075442285100483,19
247,0.16075442285100483,19
248,0.16075442285100483,19
249,0.16075442285100483,19
250,0.16075442285100483,19
251,0.16075442285100483,19
252,0.16075442285100483,19
253,0.16075442285100483,19
254,0.16075442285100483,19
255,0.16075442285100483,19
256,0.16075442285100483,19
257,0.16075442285100483,19
258,0.16075442285100483,19
259,0.16075442285100483,19
260,0.16075442285100483,19
261,0.16075442285100483,19
262,0.16075442285100483,19
263,0.16075442285100483,19
264,0.16075442285100483,19
265,0.16075442285100483,19
266,0.16075442285100483,19
267,0.16075442285100483,19
268,0.16075442285100483,19
269,0.16075442285100483,19
270,0.16075442285100483,19
271,0.16075442285100483,19
272,0.16075442285100483,19
273,0.16075442285100483,19
274,0.16075442285100483,19
275,0.16075442285100483,19
276,0.16075442285100483,19
277,0.16075442285100483,19
278,0.16075442285100483,19
279,0.16075442285100483,19
280,0.16075442285100483,19
281,0.16075442285100483,19
282,0.16075442285100483,19
283,0.16075442285100483,19
284,0.16075442285100483,19
285,0.16075442285100483,19
286,0.16075442285100483,19
287,0.16075442285100483,19
288,0.16075442285100483,19
289,0.16075442285100483,19
290,0.16075442285100483,19
