method,replicate,high_count,effective_conductivity_W_mK,improvement_vs_homogeneous_percent,improvement_vs_random_mean_percent,heat_rate_hot_W,relative_energy_balance_error,thermally_solved_particles
random,22,50,0.11092595960964713,18.099766450340127,-0.011708313260239134,0.001705002383993734,1.3021853984815804e-12,497
random,23,50,0.11140148855913475,18.606048821684862,0.416931902917983,0.0017123115656802173,3.4185411385245698e-12,497
random,24,50,0.10678443510179791,13.690401150760456,-3.7448647536088897,0.0016413445244259609,1.7089939491134724e-12,497
random,25,50,0.11028693655504614,17.419416478427884,-0.5877215729412355,0.0016951801941712994,4.745678452062844e-13,497
random,26,50,0.11220940417008708,19.46621397419581,1.145184352123274,0.0017247297412595584,8.998087947172462e-13,497
random,27,50,0.11127962325709433,18.476302243336384,0.3070829242858508,0.0017104384186618258,1.1978947872125662e-12,497
random,28,50,0.10845243528640995,15.466274291141868,-2.241334925429528,0.0016669827456437304,5.3332632491930673e-14,497
random,29,50,0.11082822059759034,17.99570645809292,-0.09980993420720674,0.001703500073361016,2.874233519276693e-13,497
random,30,50,0.10943012482886226,16.507192999719056,-1.360048818067383,0.001682010454275263,1.7878266677608131e-12,497
random,31,50,0.10995558241742359,17.066632996515384,-0.8864030924052302,0.0016900870708250536,1.524219909313668e-13,497
random,32,50,0.10914017324777187,16.198489661661974,-1.6214102105414296,0.0016775537144936865,2.0112841285636875e-13,497
random,33,50,0.11398068555292823,21.352047717419808,2.741811509463732,0.0017519554600281453,1.9001249896764005e-12,497
random,34,50,0.10936618387344893,16.43911685300372,-1.4176849829749982,0.0016810276412187143,2.966834019348782e-14,497
random,35,50,0.11104539691861602,18.226928012379528,0.09595208047885606,0.0017068382112180047,4.474425316231118e-13,497
random,36,50,0.11328612855744297,20.612572312005994,2.115740139857958,0.0017412796782968964,1.7708074222540156e-13,497
random,37,50,0.1122183369847376,19.47572449209154,1.1532363615897934,0.0017248670442887907,1.1333143174494199e-12,497
random,38,50,0.11022631954409187,17.354879242402998,-0.6423615453498788,0.0016942484722501975,1.4741451241921383e-12,497
random,39,50,0.10829395332261507,15.297542977239953,-2.3841900413895223,0.0016645467773001511,7.891753900206345e-13,497
random,40,50,0.11197886925176499,19.22076989502537,0.9373809421885371,0.0017211862732858202,2.0346275539614004e-13,497
random,41,50,0.10899832231519507,16.04746494150597,-1.7492741701811476,0.0016753733756526591,7.196203743742878e-14,497
random,42,50,0.11209906651316148,19.348740557157562,1.0457263545226025,0.0017230337814611086,1.159689743399199e-12,497
random,43,50,0.10997933246151399,17.091919004138244,-0.8649948815189767,0.0016904521240726125,2.0920146721966045e-12,497
random,44,50,0.11159629620615236,18.813455074436526,0.5925308691234532,0.0017153058828243202,1.2918351311629943e-12,497
random,45,50,0.10971823300315155,16.813933714117525,-1.1003490663632154,0.0016864388597246272,6.646242758534003e-13,497
random,46,50,0.11264046280015366,19.92515004034672,1.533739170029369,0.0017313553859192117,8.902284423747656e-13,497
random,47,50,0.10794826275333907,14.929495897555011,-2.695794372744953,0.001659233293902632,1.8462170626623807e-12,497
random,48,50,0.11309492262807662,20.40900070729281,1.9433877499846153,0.0017383407218384572,1.2587502536288353e-12,497
random,49,50,0.11139761677099218,18.6019266371485,0.41344188594170106,0.0017122520538397372,1.127226977551736e-12,497
random,50,50,0.10876262037608402,15.796519679829956,-1.961735115499097,0.0016717504872908137,8.158671663957397e-14,497
random,51,50,0.11032811609458065,17.46325918232401,-0.5506024727324865,0.0016958131498232064,1.446188404906244e-13,497
random,52,50,0.1155191098660648,22.98996505185007,4.128542077323449,0.0017756020178827923,7.617983178487093e-13,497
random,53,50,0.11700770821465035,24.574834075521125,5.470359686173132,0.0017984827190466954,4.131522138183266e-12,497
random,54,50,0.11355220526767125,20.895856742867956,2.355580803008195,0.0017453694461642278,2.911258652279888e-12,497
random,55,50,0.11347077602603949,20.80916130698638,2.2821807549693096,0.001744117827051826,3.4979320375897113e-12,497
random,56,50,0.11593274463743335,23.4303504230136,4.5013910868512585,0.0017819598467784616,3.3344531285661763e-12,497
random,57,50,0.10649727460627219,13.384669403433724,-4.003710270822147,0.0016369306854005143,1.0511311585032095e-12,497
random,58,50,0.10844429356867842,15.457606032007742,-2.2486738427599295,0.0016668576022761104,5.316752040363255e-13,497
random,59,50,0.11130187929238167,18.499997621576014,0.32714444059755987,0.0017107805080461024,1.2814366205672267e-12,497
random,60,50,0.10998676898874972,17.09983646667661,-0.8582916205600477,0.0016905664282148543,9.383864439186495e-13,497
random,61,50,0.10916644160746088,16.226456849462046,-1.597731998336105,0.0016779574758499188,1.1294597299281965e-13,497
random,62,50,0.1096416103885158,16.7323557595509,-1.1694164367872406,0.0016852611215190576,2.895046775770206e-14,497
random,63,50,0.10927892701530421,16.34621691682696,-1.4963380251893255,0.0016796864479427663,1.985234926300614e-12,497
random,64,50,0.11009745059760954,17.217676079718423,-0.758523585827886,0.001692267674772778,2.7260936982281325e-12,497
random,65,50,0.10994983879917755,17.060517926825458,-0.8915803708217873,0.0016899987877681685,1.828646206621403e-12,497
