method,replicate,high_count,high_type_counts,high_particle_volume_m3,effective_conductivity_W_mK,improvement_vs_homogeneous_percent,improvement_vs_random_mean_percent,heat_rate_hot_W,relative_energy_balance_error,thermally_solved_particles
random,29,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11257531695217012,19.855791078214313,1.2085327781291566,0.0017303540528993296,1.3056637069371987e-12,497
random,30,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11019925298489103,17.32606223390938,-0.92761886173226,0.0016938324420609943,3.968546889579555e-15,497
random,31,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11395604331001565,21.32581181066695,2.4498465281495907,0.001751576693118571,1.750617370207227e-12,497
random,32,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11367643964804809,21.028125612654968,2.198474583097454,0.001747279007419879,8.487320715391904e-13,497
random,33,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11190154777920011,19.13844788596957,0.6027944042687583,0.0017199977931904398,1.5852064660554249e-12,497
random,34,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11048992861852687,17.63553645045888,-0.6662928873436114,0.0016983003109896206,6.644511655688024e-13,497
random,35,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11249285839913208,19.767999763269685,1.1344001050536567,0.001729086612617494,2.7865547158634184e-13,497
random,36,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10875320296591072,15.786493226635878,-2.2276605112437897,0.0016716057357209105,6.414646263013913e-13,497
random,37,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10960206814097757,16.690256234645993,-1.4645056632635045,0.0016846533320840288,7.260822554424119e-13,497
random,38,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11077840627259501,17.942670539643046,-0.40694296146316367,0.0017027343955776282,1.3184375814449434e-12,497
random,39,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11048122278328376,17.626267591189283,-0.6741196901936308,0.0016981664967779032,1.71667666681113e-12,497
random,40,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10974786949627786,16.845486859377125,-1.3334259412914662,0.0016868943914289407,1.4381521412819694e-12,497
