atom_id,atom_type,x_m,y_m,z_m,radius_m,high_conductivity,temperature_K,contact_degree,absolute_heat_throughput_W,hot_wall_link,cold_wall_link,on_minimum_resistance_path
109,2,0.0144644,0.0100909,0.00140118,0.001,0,300.88265190127925,5,4.094623642698537e-05,0,0,0
110,2,0.00650561,0.0124136,0.000884147,0.001,0,300.90757273722204,4,6.977898309981234e-05,1,0,0
111,2,0.00785746,0.0103366,0.00103145,0.001,0,300.8733960480649,5,5.84818640706205e-05,0,0,0
112,2,0.0120908,0.00355286,0.0127108,0.001,0,300.1957348948083,5,6.290341902699095e-05,0,0,0
113,2,0.0137511,0.0112117,0.00349255,0.001,0,300.76225082620226,6,3.9577242381247564e-05,0,0,0
114,2,0.00508388,0.0139401,0.00632774,0.001,0,300.6023024637152,6,6.158331296809359e-05,0,0,0
115,2,0.00638442,0.00655959,0.014431,0.001,0,300.09316928056717,4,4.987392983856951e-05,0,1,0
116,2,0.0032663,0.00252057,0.000871886,0.001,0,300.9211358937238,4,6.0196108520701314e-05,1,0,0
117,2,0.00706742,0.00700147,0.0108788,0.001,0,300.31899854729267,6,7.827277747989608e-05,0,0,0
118,2,0.00470819,0.0124864,0.00514439,0.001,0,300.6713552976416,7,0.00010775535712032336,0,0,0
119,2,0.00538559,0.0145562,0.00093035,0.001,0,300.94223085950307,4,3.0492038685894984e-05,1,0,0
120,2,0.000887498,0.00319027,0.00397745,0.001,0,300.6874284893318,3,2.1931967730689356e-05,0,0,0
121,2,0.00456288,0.00532131,0.0036275,0.001,0,300.7242520231877,5,5.387098142897941e-05,0,0,0
122,2,0.0112451,0.00258122,0.0141094,0.001,0,300.1493207516036,5,6.0387583634161e-05,0,0,0
123,2,0.000890145,0.00223572,0.0102524,0.001,1,300.38929347420145,6,0.00017694264046489659,0,0,0
124,2,0.0145371,0.0134171,0.0143886,0.001,0,300.07155887441564,4,2.0199122693047648e-05,0,1,0
125,2,0.0138481,0.00660686,0.00474022,0.001,0,300.6597827355079,3,4.2594844868972396e-05,0,0,0
126,2,0.00623783,0.0100748,0.0135859,0.001,0,300.15815827146236,6,7.335742831118774e-05,0,0,0
127,2,0.000544785,0.0137134,0.00885746,0.001,0,300.4500361660743,6,6.1047864606197e-05,0,0,0
128,2,0.000154724,0.0073296,0.000870085,0.001,0,300.91804038169903,5,6.391425554013609e-05,1,0,1
129,2,0.014849,0.00153167,0.014381,0.001,0,300.0533770790447,3,1.0868747482299156e-05,0,1,0
130,2,0.00435341,0.00823317,0.0126542,0.001,1,300.2208200975974,8,0.00023044856200958965,0,0,0
131,2,0.00985779,0.00815529,0.00388315,0.001,0,300.747974657677,7,6.441313877708644e-05,0,0,0
132,2,0.0100439,0.00330211,0.0124968,0.001,0,300.2311497356156,5,4.5268730073712735e-05,0,0,0
133,2,0.0065924,0.00527887,0.0125227,0.001,0,300.21669030846846,5,3.8521461906325545e-05,0,0,0
134,2,0.0138307,0.0113549,0.0128799,0.001,0,300.1970243416948,5,8.517397239743397e-05,0,0,0
135,2,0.00964616,0.00644989,0.00520181,0.001,1,300.7121059087498,9,0.00024803254991712586,0,0,0
136,2,0.00827685,0.0147628,0.00814513,0.001,0,300.4780770762361,8,8.29649073280213e-05,0,0,0
137,2,0.00983731,0.00711561,0.0129465,0.001,0,300.06472061279436,1,0.0,0,0,0
138,2,0.00450206,0.00480361,0.0119904,0.001,0,300.214914953189,3,9.962673132525252e-06,0,0,0
139,2,0.00846184,0.00490389,0.0126128,0.001,0,300.2059190378821,6,7.331724395721613e-05,0,0,0
140,2,0.0134074,0.0094787,0.0127003,0.001,0,300.2064971096417,6,4.166430209736108e-05,0,0,0
141,2,0.0120181,0.00811492,0.0125764,0.001,0,300.2331238406135,5,5.969135851478323e-05,0,0,0
142,2,0.00772678,0.00808528,0.000953171,0.001,0,300.9172597533631,3,3.5809994038371786e-05,1,0,0
143,2,0.00608817,0.00820031,0.0133661,0.001,0,300.1848630403764,6,5.926131613530405e-05,0,0,0
144,2,0.0012251,0.0115874,0.0109257,0.001,0,300.329651470974,4,1.8492941644341628e-05,0,0,0
145,2,0.0109118,0.00251323,0.000948249,0.001,0,300.90675695919685,5,6.509035314075952e-05,1,0,0
146,2,0.00088105,0.0150072,0.0105034,0.001,0,300.3544800974169,7,6.987127022899178e-05,0,0,0
147,2,0.00358557,0.00806951,0.00525681,0.001,0,300.6141226668323,5,5.278819600852732e-05,0,0,0
148,2,0.0109869,0.0080267,0.00127195,0.001,0,300.8858913495352,7,6.070254828140452e-05,0,0,0
149,2,0.0124435,0.0146398,0.0116824,0.001,0,300.275626351889,6,8.589256946705963e-05,0,0,0
150,2,0.00854676,0.00257448,0.0136897,0.001,0,300.13339262362155,6,5.576134075284363e-05,0,0,0
151,2,0.00672295,0.000346097,0.0087875,0.001,0,300.44071405737577,5,9.502284703406588e-05,0,0,0
152,2,0.00717064,0.00382324,0.00437199,0.001,0,300.6997515341615,5,2.9704288031975057e-05,0,0,0
153,2,0.00606834,0.00901907,0.00820549,0.001,0,300.4371042349462,3,1.8186360725567077e-05,0,0,0
154,2,0.00893611,0.0127031,0.00164658,0.001,0,300.8714056286954,7,7.744540201201011e-05,0,0,0
155,2,0.012581,0.00928693,0.00778731,0.001,0,300.5084413037114,7,9.75938883087081e-05,0,0,0
156,2,0.00999947,0.0108406,0.00787277,0.001,0,300.51265690784385,6,5.4838184435997466e-05,0,0,0
157,2,0.00885009,0.00379943,0.0110525,0.001,0,300.27185266671574,5,4.635232466176814e-05,0,0,0
158,2,0.00402451,0.00421498,0.0051619,0.001,0,300.64666512630845,5,5.003681422248171e-05,0,0,0
159,2,0.00763007,0.0127637,0.00294432,0.001,0,300.7805399644156,6,7.269929379659953e-05,0,0,0
160,2,0.0022856,0.0145082,0.00925216,0.001,0,300.41501693432946,7,6.0384969849493545e-05,0,0,0
161,2,0.00179259,0.00373121,0.000942048,0.001,0,300.9298798554129,4,3.521276486188466e-05,1,0,0
162,2,0.0145569,0.01125,0.00958401,0.001,0,300.4059570651972,5,6.0229977415624615e-05,0,0,0
163,2,0.0104494,0.0041918,0.00970165,0.001,0,300.3847706828767,5,5.7418651995123186e-05,0,0,0
164,2,0.0125467,0.000691416,0.0145152,0.001,0,300.07151090731946,3,5.572670783861984e-05,0,1,0
165,2,0.00509822,0.0110078,0.00640293,0.001,0,300.5757191658887,6,8.290542482341402e-05,0,0,0
166,2,0.0109612,0.0108004,0.01098,0.001,0,300.303544700062,4,4.383793864485644e-05,0,0,0
167,2,0.00688329,0.00340692,0.0143901,0.001,0,300.07184916826714,5,2.1255637473883582e-05,0,1,0
168,2,0.0120602,0.0118554,0.00443186,0.001,0,300.7024421981463,6,9.109683216954448e-05,0,0,0
169,2,0.000538242,0.0152463,0.0143884,0.001,0,300.0735684356167,3,2.4865133369720937e-05,0,1,0
170,2,1.52415e-05,0.00574302,0.00951558,0.001,0,300.39748331006984,5,4.8488870017291785e-05,0,0,0
171,2,0.00440958,0.0143626,0.0145282,0.001,0,300.10086985088344,4,9.360244935934174e-05,0,1,0
172,2,0.0106653,0.000433149,0.0097738,0.001,1,300.4344344090294,6,0.00020908174313875576,0,0,0
173,2,0.010716,0.000232972,0.0115652,0.001,0,300.3070067362523,4,0.0001453314963471398,0,0,0
174,2,0.00604833,0.00253204,0.00140224,0.001,0,nan,0,0.0,0,0,0
175,2,0.000257004,0.0148446,0.000978732,0.001,0,300.92050877388544,3,2.3185289194738438e-05,1,0,0
176,2,0.0106435,0.00802451,0.0145352,0.001,0,300.06472061279436,5,5.984508698907266e-05,0,1,0
177,2,0.00441845,0.0127797,0.0136226,0.001,0,300.1548647801269,4,3.374313156044256e-05,0,0,0
178,2,0.0013163,0.00973301,0.0144238,0.001,0,300.10007342061715,3,7.174252423753007e-05,0,1,1
179,2,0.00779511,0.0100188,0.0145682,0.001,0,300.0783885214909,5,6.96847907507936e-05,0,1,0
180,2,0.00700269,0.00639403,0.00492724,0.001,0,300.653663659897,7,0.00013920036236574778,0,0,0
181,2,0.00832408,0.00779038,0.00508726,0.001,0,300.68973690133106,8,5.808246399523197e-05,0,0,0
182,2,0.0113626,0.00895506,0.00296166,0.001,0,300.7901024758767,8,7.242195616909322e-05,0,0,0
183,2,0.000595232,0.00442376,0.00558026,0.001,0,300.60833624132124,3,1.7235357627483942e-05,0,0,0
184,2,0.00577495,0.00516388,0.00766243,0.001,0,300.50241095920506,4,4.8412675532677184e-05,0,0,0
185,2,0.00199147,0.00806141,0.0063271,0.001,0,300.5706720672641,6,6.721366052510496e-05,0,0,0
186,2,0.00211998,0.0109038,0.0130038,0.001,0,300.211825926445,6,5.5789525430388005e-05,0,0,0
187,2,0.0141259,0.00608338,0.000968971,0.001,0,300.91884997975745,6,3.5939752222323516e-05,1,0,0
188,2,0.00250635,0.00565612,0.0063415,0.001,0,300.5429003634197,5,6.953263252395948e-05,0,0,0
189,2,0.00888094,0.000740739,0.0093095,0.001,0,300.4253992449108,5,4.9562670047524325e-05,0,0,0
190,2,0.00999621,0.0109642,0.0126444,0.001,1,300.25290754630004,6,0.000239628336834192,0,0,0
191,2,0.00864237,0.0106469,0.0113334,0.001,1,300.3016167211527,5,0.00030397071929676633,0,0,0
192,2,0.000969465,0.00402503,0.00960789,0.001,1,300.4021756595936,8,0.0002007246996285584,0,0,0
193,2,0.0127233,0.00079723,0.00738357,0.001,0,300.5241061495996,5,3.48735651878278e-05,0,0,0
194,2,0.0146976,0.0107951,0.00618344,0.001,0,300.5972101862883,7,6.745128734056658e-05,0,0,0
195,2,0.0138771,0.00294134,0.00892731,0.001,0,300.44095945226616,4,7.052504532597887e-05,0,0,0
196,2,0.000773612,0.00264311,0.0131646,0.001,1,300.1910568289975,5,0.000231141670221394,0,0,0
197,2,0.00194235,0.00933517,0.00774063,0.001,0,300.48741656765947,7,6.150709341701737e-05,0,0,0
198,2,0.0028642,0.00860811,0.00289342,0.001,0,300.7632604918657,6,8.35642952384531e-05,0,0,0
199,2,0.0142049,0.0134024,0.000882122,0.001,0,300.9232997329216,3,5.3237110497188675e-05,1,0,0
200,2,0.00271385,0.0120951,0.000983228,0.001,0,300.93373167716896,4,1.7164391107675845e-05,1,0,0
201,2,0.000449221,0.0133317,0.0111781,0.001,0,300.3093942717268,5,3.190848228063642e-05,0,0,0
202,2,0.00512241,0.0142025,0.0125249,0.001,0,300.2194642852652,8,7.048064416470694e-05,0,0,0
203,2,0.0090967,0.0152193,0.0051464,0.001,0,300.6733358020055,4,5.8099495799270455e-05,0,0,0
204,2,0.0143573,0.0127819,0.00851817,0.001,0,300.46575636717193,7,8.138986685384596e-05,0,0,0
205,2,0.0136468,0.0117768,0.00161815,0.001,0,300.83694501463424,5,6.588697204529958e-05,0,0,0
206,2,0.0140915,0.00668328,0.00283329,0.001,0,300.7689782725024,7,8.727616592030409e-05,0,0,0
207,2,0.00140268,0.00676794,0.00759816,0.001,0,300.49980571201604,6,0.00011735585308081041,0,0,0
208,2,0.0148179,0.00401886,0.0106743,0.001,0,300.3291292278676,5,8.278251174679714e-05,0,0,0
209,2,0.0128927,0.0122358,0.00968693,0.001,0,300.3979912282276,5,3.129854368949084e-05,0,0,0
210,2,0.0106344,0.00516889,0.00633136,0.001,0,300.63942077530737,5,4.187474636698725e-05,0,0,0
211,2,0.0132691,0.00322139,0.00440678,0.001,0,300.7011624885124,7,8.773099941696538e-05,0,0,0
212,2,0.00537116,0.00290926,0.0111914,0.001,0,300.28167246191396,5,5.0763744045198535e-05,0,0,0
213,2,0.0135756,0.00512942,0.00967011,0.001,0,300.36594461077107,7,9.858717275795166e-05,0,0,0
214,2,0.00886412,0.00308307,0.00375224,0.001,0,300.7462662996456,7,6.802716501046427e-05,0,0,0
215,2,0.00952206,0.00691311,0.000898627,0.001,0,300.9212722387508,5,5.0132463575946395e-05,1,0,0
216,2,0.000394765,0.00965594,0.0100309,0.001,0,300.34957323318076,6,6.568374045029212e-05,0,0,0
217,2,0.0007164,0.000291917,0.00791993,0.001,0,300.4926067316776,6,8.146112318833717e-05,0,0,0
