atom_id_i,atom_id_j,high_endpoint_count,conductance_W_K,signed_heat_rate_i_to_j_W,absolute_heat_rate_W,vertical_alignment
41,186,0,9.258200997725515e-08,5.788945769323884e-20,5.788945769323884e-20,0.25617125351530456
42,274,0,7.960559219788628e-05,7.881981830976174e-06,7.881981830976174e-06,0.5723214876998162
42,392,0,9.917705531499833e-05,7.67792475481674e-06,7.67792475481674e-06,0.1687271053232503
42,414,0,0.00012167217959025896,-1.1665270803342552e-05,1.1665270803342552e-05,0.6194975229084477
43,206,0,0.00016378028575782046,-1.0962411722279433e-05,1.0962411722279433e-05,0.5610015363431085
43,258,0,0.00016328253259716843,-4.274503783530318e-06,4.274503783530318e-06,0.3935855626154354
43,490,1,0.0003285401368324318,1.5236915505770204e-05,1.5236915505770204e-05,0.6174807397403543
45,249,0,0.00020269316236199025,1.4266011977911993e-05,1.4266011977911993e-05,0.5861669941394998
45,265,0,0.00019507144382923487,-4.6505767105628717e-07,4.6505767105628717e-07,0.11785385534638945
45,326,0,0.0001813179426476137,-1.2162456208339345e-05,1.2162456208339345e-05,0.9211798529285339
45,358,0,6.107230471607004e-05,-1.5474019094246278e-06,1.5474019094246278e-06,0.26712271418401007
46,178,1,0.0003408730911223216,-1.1253001367704545e-08,1.1253001367704545e-08,0.1800374743435217
46,294,0,0.00019975139420692025,-2.691682169792838e-06,2.691682169792838e-06,0.18468239903015793
46,415,0,0.00025051185964836554,-2.154136056973814e-05,2.154136056973814e-05,0.40083164547493105
48,339,2,0.0018905149467154433,-0.00011390375478435664,0.00011390375478435664,0.7847687654578313
48,379,1,0.00011082937128270832,4.481535621045759e-06,4.481535621045759e-06,0.37660865310570235
48,385,2,0.0017718909121479495,7.080206073129104e-05,7.080206073129104e-05,0.12959650665034175
48,390,1,0.00026497929947810354,4.034581184732721e-06,4.034581184732721e-06,0.1467854862611766
48,432,1,0.0003472613362117007,-1.0612939693516679e-05,1.0612939693516679e-05,0.3968933231662167
48,451,1,0.0004337216506264422,4.519851694067101e-05,4.519851694067101e-05,0.9773749688288601
49,224,0,0.00018333359024108484,1.858840629810244e-05,1.858840629810244e-05,0.9629427954280069
49,351,0,0.00010956535082875896,-3.1994344222025903e-06,3.1994344222025903e-06,0.2792235626680842
50,222,0,0.00014128169853969833,4.103554758206186e-06,4.103554758206186e-06,0.315364548374534
50,284,0,9.316520789461817e-05,9.050547263783693e-06,9.050547263783693e-06,0.9249328263809355
50,347,0,0.00014842418925173836,-6.573258047173747e-06,6.573258047173747e-06,0.35964970011015945
50,392,0,7.426980740124627e-05,-5.268100135428036e-06,5.268100135428036e-06,0.8632057382660129
50,402,0,0.0001532013608825095,-8.39522045273629e-06,8.39522045273629e-06,0.6144838284315428
50,450,0,8.728353295204905e-05,7.0824766135097175e-06,7.0824766135097175e-06,0.6650040285321421
51,317,0,0.0001665932179427417,1.3264045301735501e-05,1.3264045301735501e-05,0.40621636440689873
51,449,0,0.00023782056928369784,1.9872252293306406e-05,1.9872252293306406e-05,0.7060573752266287
52,136,0,0.000188081767370321,3.1803865331011394e-06,3.1803865331011394e-06,0.18649335070352835
52,316,0,0.00019017720384392506,-1.0227066184091413e-05,1.0227066184091413e-05,0.35815718497859167
52,361,0,0.00020679486903451587,1.9509246941008844e-06,1.9509246941008844e-06,0.20958455025923495
52,362,0,5.305948746408737e-05,-1.9632861929478995e-06,1.9632861929478995e-06,0.46168160673457814
53,135,0,0.00021452181642442098,6.393830721788273e-06,6.393830721788273e-06,0.3702680247506702
53,180,0,0.0002449313074049336,1.534881986789784e-05,1.534881986789784e-05,0.20722721441877878
53,376,0,0.0002481657822701559,-2.6929896078040998e-05,2.6929896078040998e-05,0.8717245227055672
54,85,0,0.00019858225493988194,1.5875302329731172e-05,1.5875302329731172e-05,0.7897707368721228
54,109,0,0.00015077678903450677,6.4222706973715775e-06,6.4222706973715775e-06,0.4430017714056034
55,197,0,0.00016305505494495842,-1.4847574043109676e-05,1.4847574043109676e-05,0.6079632818373175
55,216,0,0.0002089058705506946,1.837775319886784e-05,1.837775319886784e-05,0.7669417712194372
55,264,0,0.0002474773763506706,4.092713676831955e-06,4.092713676831955e-06,0.15098050721980816
55,339,1,0.0002946254991981517,2.355250236974337e-05,2.355250236974337e-05,0.764568317570489
55,348,0,0.0002053252759786299,-1.835021820068301e-05,1.835021820068301e-05,0.4651162117357693
55,483,1,0.00033527384835371803,-1.282517700168415e-05,1.282517700168415e-05,0.2222044655632531
56,148,0,0.0002327090949164258,8.673288487423964e-06,8.673288487423964e-06,0.3954948732593614
56,215,1,0.0003255750387130139,-6.559063347329826e-06,6.559063347329826e-06,0.16047149038830505
56,244,0,4.332677794369691e-05,9.780543564060412e-07,9.780543564060412e-07,0.18229455919749868
56,256,0,9.911202691216585e-05,1.6963889060349303e-06,1.6963889060349303e-06,0.14753405512193346
56,356,0,0.00026085442290623453,1.783096747339008e-05,1.783096747339008e-05,0.738864452703019
57,168,0,0.00021398994082143398,1.476760768201133e-05,1.476760768201133e-05,0.7326403632870306
57,265,0,0.00017963588638215865,-1.8626018285848617e-06,1.8626018285848617e-06,0.03803056611877339
57,326,0,0.0002072107835851885,-1.5553818871658776e-05,1.5553818871658776e-05,0.8542229045928883
58,178,2,0.0022034309934036342,0.0002007466396298908,0.0002007466396298908,0.9811731673104724
58,186,1,0.00038928444629242836,-6.562090316404367e-06,6.562090316404367e-06,0.11314418059307511
58,350,1,0.00043515385689948667,-4.4441541167697145e-05,4.4441541167697145e-05,0.621092961213206
58,385,2,0.0013309334369515614,-0.00013697312168674294,0.00013697312168674294,0.722609780731302
58,455,2,0.001123590450016485,-1.2769886458919616e-05,1.2769886458919616e-05,0.27160751899763586
59,393,0,0.0001691600685120629,8.00825524564439e-06,8.00825524564439e-06,0.38720167238697084
59,407,0,0.00018821873933112622,1.1639745857627757e-05,1.1639745857627757e-05,0.2158879852822854
59,418,0,0.00018224636825487785,-1.755682845442769e-05,1.755682845442769e-05,0.8391390066508815
59,449,0,0.00019577403493182136,-2.0911726487702218e-06,2.0911726487702218e-06,0.43296057008341976
60,326,0,0.00017808214061896066,1.7827643410053257e-05,1.7827643410053257e-05,0.6754763518610949
60,368,0,0.00016123338405948858,2.0638421524985327e-06,2.0638421524985327e-06,0.16474459797998076
61,155,0,0.00016628711359736444,7.830010099302907e-06,7.830010099302907e-06,0.2931509025881579
61,156,0,0.00016282495619934166,5.433510678923599e-06,5.433510678923599e-06,0.3433130136149592
61,283,0,9.085480710384069e-05,5.776054694751929e-06,5.776054694751929e-06,0.31417788197281876
61,367,0,0.00013559184660546763,-7.545480173853325e-06,7.545480173853325e-06,0.7304780248789675
61,428,0,0.00017860432668773013,-1.1494095299136021e-05,1.1494095299136021e-05,0.6708670144258262
62,177,0,0.00014892794117081054,5.510950219430006e-06,5.510950219430006e-06,0.31473617263653486
62,202,0,0.00024308687862164847,-8.713678996922718e-06,8.713678996922718e-06,0.34935354600633217
62,420,0,0.0002119178035398388,1.741560394097753e-05,1.741560394097753e-05,0.6197373392097839
62,422,0,0.00020835828308069808,-1.4212875163473905e-05,1.4212875163473905e-05,0.5708338219863885
