atom_id_i,atom_id_j,high_endpoint_count,conductance_W_K,signed_heat_rate_i_to_j_W,absolute_heat_rate_W,vertical_alignment
26,357,0,1.6973968592842035e-05,1.3575512288008246e-06,1.3575512288008246e-06,0.5738833167985482
26,440,0,0.0001169539926414978,-5.465298865856383e-06,5.465298865856383e-06,0.5152170783924089
26,442,0,4.822812885910476e-05,3.6218938441185453e-06,3.6218938441185453e-06,0.8199543197105981
27,126,0,0.00021752153278462908,1.6903334417023317e-05,1.6903334417023317e-05,0.9185184518825642
27,235,0,0.0002470833610867056,-8.764476948987162e-06,8.764476948987162e-06,0.38045483269225683
27,248,1,0.000537220532417254,-1.224280869741019e-05,1.224280869741019e-05,0.6435393730573675
27,429,0,0.00027880803208114494,4.103951229227227e-06,4.103951229227227e-06,0.2686777311160592
28,110,0,0.000104834487722566,3.42985262169177e-06,3.42985262169177e-06,0.16329980232750696
28,111,0,0.0002892230937639326,1.9347151966918978e-05,1.9347151966918978e-05,0.27584602602091113
28,154,0,0.00024584386363972574,1.6934694783125896e-05,1.6934694783125896e-05,0.648872653853337
29,88,0,0.00019314962564627225,1.2155231060036311e-05,1.2155231060036311e-05,0.5782157636734162
29,139,0,0.00017832149796191828,-1.6946707185124398e-05,1.6946707185124398e-05,0.7584422041292727
29,337,0,0.00016315242060232487,4.791476125075154e-06,4.791476125075154e-06,0.341550760005869
30,75,0,0.0001169044280476939,9.788071966069727e-06,9.788071966069727e-06,0.9495436921507169
30,264,0,0.00023878505098297106,-9.828221687697416e-06,9.828221687697416e-06,0.3481848286689288
30,357,0,0.0001782201794251769,2.2701538059700885e-06,2.2701538059700885e-06,0.01839025417713529
30,425,0,0.0002256243146545724,-3.0173788936568763e-06,3.0173788936568763e-06,0.022433120383754484
30,432,0,2.5454393255963323e-05,7.873748092633585e-07,7.873748092633585e-07,0.5156113499409708
31,473,0,9.682458365518543e-08,-5.503840364735051e-21,5.503840364735051e-21,0.2639198276868008
32,228,0,0.00023447129520132634,8.99933206159138e-07,8.99933206159138e-07,0.06957424366531084
32,286,0,0.00023249136361529508,2.693763902892107e-05,2.693763902892107e-05,0.7997398226890233
32,287,0,0.00021178031624604295,-1.7432216978390233e-05,1.7432216978390233e-05,0.6036328264125158
32,495,0,0.00024551816283717925,-1.0405355256686407e-05,1.0405355256686407e-05,0.4343101802020193
33,263,0,0.00013469042076570326,-9.244145904537269e-06,9.244145904537269e-06,0.6664754465258915
33,268,0,0.0001747642626930126,7.16601639270573e-06,7.16601639270573e-06,0.7026068220427463
33,367,0,0.00013829159907349092,-4.549196400274876e-06,4.549196400274876e-06,0.21078049504285493
33,404,0,0.00010831028645626031,6.627325912088832e-06,6.627325912088832e-06,0.6264488754930619
34,247,0,0.00014456434287935064,-8.883825045888667e-06,8.883825045888667e-06,0.5616916110593136
34,357,0,0.00012365806523905452,5.4478340393308935e-06,5.4478340393308935e-06,0.1628050525303911
34,444,0,0.00015074765610626032,3.43599100655962e-06,3.43599100655962e-06,0.3891478848823524
35,79,0,1.2189891924728888e-06,-6.929151325453454e-20,6.929151325453454e-20,0.16133375952253162
35,186,0,9.258200997725515e-08,4.210142377690097e-20,4.210142377690097e-20,0.20182398497213863
36,100,1,0.0003922385907185312,-4.33330530520678e-05,4.33330530520678e-05,0.8926563406830098
36,289,0,8.74570462941719e-05,-4.244190111487488e-06,4.244190111487488e-06,0.504458915765067
36,447,0,0.00014559007433025028,-2.870138500756587e-06,2.870138500756587e-06,0.24590991692122083
37,167,0,8.695363987458857e-05,-6.035131285127788e-07,6.035131285127788e-07,0.17121174220236046
37,254,0,0.00018075768889659293,-2.1766560650819943e-05,2.1766560650819943e-05,0.9855043913932282
37,289,0,8.954980681060068e-05,-6.526725774215273e-06,6.526725774215273e-06,0.48137554653595455
38,80,0,0.00013969340194959777,-6.186615977776757e-06,6.186615977776757e-06,0.4216063654427783
38,131,0,6.472083567332294e-05,3.900238040315684e-06,3.900238040315684e-06,0.7811341006117075
