atom_id_i,atom_id_j,high_endpoint_count,conductance_W_K,signed_heat_rate_i_to_j_W,absolute_heat_rate_W,vertical_alignment
37,254,1,0.00032865034344835075,-2.4216392472620866e-05,2.4216392472620866e-05,0.9855043913932282
37,289,0,8.954980681060068e-05,-4.903362782206389e-06,4.903362782206389e-06,0.48137554653595455
38,80,1,0.0002539880035447232,-8.273516926261135e-06,8.273516926261135e-06,0.4216063654427783
38,131,1,0.00011767424667876899,7.402731475092974e-06,7.402731475092974e-06,0.7811341006117075
38,215,0,0.0001997081823814231,-1.9518604412694558e-05,1.9518604412694558e-05,0.9808286036390279
38,253,0,0.00020060108518782466,8.661871661348328e-06,8.661871661348328e-06,0.3829045093468594
38,364,0,0.00021528831011003225,1.1727518202500295e-05,1.1727518202500295e-05,0.5803384732736075
39,45,0,9.022705951785956e-05,4.414460322691868e-07,4.414460322691868e-07,0.17448528198717125
39,159,0,0.00013195800960908913,-1.7166190205846947e-06,1.7166190205846947e-06,0.0923439704373802
39,249,0,0.00015450531554145902,1.1507837531570222e-05,1.1507837531570222e-05,0.7245120606362377
39,413,0,0.0001529424863504238,-1.2084276665067114e-05,1.2084276665067114e-05,0.7939753447018785
39,462,0,0.00016271646409757776,1.8516121218057969e-06,1.8516121218057969e-06,0.08383772469300835
40,68,0,1.1464243510460918e-05,6.802494701713577e-07,6.802494701713577e-07,0.7429535921030359
40,102,0,0.00021710005682144628,-9.086348654218827e-06,9.086348654218827e-06,0.7037432229261711
40,355,0,0.00015364569632474233,-9.699132336020895e-06,9.699132336020895e-06,0.6616040785469929
40,460,0,0.0002635187525324097,2.0919119256485947e-05,2.0919119256485947e-05,0.4207938794858812
40,492,0,0.0002736894988011209,-1.6514602412450823e-05,1.6514602412450823e-05,0.4165904391118844
40,497,0,0.00022576003571301708,1.370071467601982e-05,1.370071467601982e-05,0.3139426269474808
41,79,0,8.660254037844388e-08,4.922784477141924e-21,4.922784477141924e-21,0.37299481513208244
41,186,0,9.258200997725515e-08,5.788945769323884e-20,5.788945769323884e-20,0.25617125351530456
42,274,0,7.960559219788628e-05,1.0075721050952383e-05,1.0075721050952383e-05,0.5723214876998162
42,392,0,9.917705531499833e-05,9.251827260834569e-06,9.251827260834569e-06,0.1687271053232503
42,414,1,0.00022122214470956172,-1.655179962887522e-05,1.655179962887522e-05,0.6194975229084477
43,206,0,0.00016378028575782046,-9.730669280866412e-06,9.730669280866412e-06,0.5610015363431085
43,258,0,0.00016328253259716843,-4.6129581659405194e-06,4.6129581659405194e-06,0.3935855626154354
43,490,0,0.00018069707525783749,1.4343627446784982e-05,1.4343627446784982e-05,0.6174807397403543
45,249,0,0.00020269316236199025,1.4105257114682299e-05,1.4105257114682299e-05,0.5861669941394998
45,265,0,0.00019507144382923487,3.951442999141925e-07,3.951442999141925e-07,0.11785385534638945
45,326,0,0.0001813179426476137,-1.2464107382226835e-05,1.2464107382226835e-05,0.9211798529285339
45,358,0,6.107230471607004e-05,-1.594848000084253e-06,1.594848000084253e-06,0.26712271418401007
46,178,0,0.00018748020011727688,-1.912115248782803e-06,1.912115248782803e-06,0.1800374743435217
46,294,0,0.00019975139420692025,-2.7206024516475727e-06,2.7206024516475727e-06,0.18468239903015793
46,415,0,0.00025051185964836554,-2.113829284265374e-05,2.113829284265374e-05,0.40083164547493105
48,339,1,0.00034372999031189876,-2.6782832015324125e-05,2.6782832015324125e-05,0.7847687654578313
48,379,1,0.00011082937128270832,3.856050672676757e-06,3.856050672676757e-06,0.37660865310570235
48,385,1,0.0003221619840268999,1.483422813979693e-06,1.483422813979693e-06,0.12959650665034175
48,390,2,0.0014573861471295693,-3.611455724224344e-06,3.611455724224344e-06,0.1467854862611766
48,432,1,0.0003472613362117007,-1.4228988630837062e-05,1.4228988630837062e-05,0.3968933231662167
48,451,1,0.0004337216506264422,3.928380288370318e-05,3.928380288370318e-05,0.9773749688288601
49,224,0,0.00018333359024108484,1.8435866653607825e-05,1.8435866653607825e-05,0.9629427954280069
49,351,0,0.00010956535082875896,-3.4131810336137888e-06,3.4131810336137888e-06,0.2792235626680842
50,222,0,0.00014128169853969833,4.828705600364365e-06,4.828705600364365e-06,0.315364548374534
50,284,0,9.316520789461817e-05,7.920903327755983e-06,7.920903327755983e-06,0.9249328263809355
50,347,0,0.00014842418925173836,-4.800025361901144e-06,4.800025361901144e-06,0.35964970011015945
50,392,0,7.426980740124627e-05,-5.490571313107747e-06,5.490571313107747e-06,0.8632057382660129
50,402,0,0.0001532013608825095,-9.569340808968111e-06,9.569340808968111e-06,0.6144838284315428
50,450,0,8.728353295204905e-05,7.110328555918794e-06,7.110328555918794e-06,0.6650040285321421
51,317,0,0.0001665932179427417,1.3603339177176613e-05,1.3603339177176613e-05,0.40621636440689873
51,449,0,0.00023782056928369784,1.7126818331444988e-05,1.7126818331444988e-05,0.7060573752266287
52,136,0,0.000188081767370321,2.8889670759654794e-06,2.8889670759654794e-06,0.18649335070352835
52,316,0,0.00019017720384392506,-8.59861788620241e-06,8.59861788620241e-06,0.35815718497859167
52,361,0,0.00020679486903451587,2.243408667966134e-06,2.243408667966134e-06,0.20958455025923495
52,362,0,5.305948746408737e-05,-2.5643496993000997e-06,2.5643496993000997e-06,0.46168160673457814
53,135,0,0.00021452181642442098,8.967220562475504e-06,8.967220562475504e-06,0.3702680247506702
53,180,0,0.0002449313074049336,4.518364227268409e-06,4.518364227268409e-06,0.20722721441877878
53,376,0,0.0002481657822701559,-2.170880897772751e-05,2.170880897772751e-05,0.8717245227055672
54,85,0,0.00019858225493988194,1.884419153325816e-05,1.884419153325816e-05,0.7897707368721228
54,109,1,0.00027413961642637594,1.2902812869355094e-05,1.2902812869355094e-05,0.4430017714056034
55,197,0,0.00016305505494495842,-1.3161345367155284e-05,1.3161345367155284e-05,0.6079632818373175
55,216,0,0.0002089058705506946,1.4939877059895165e-05,1.4939877059895165e-05,0.7669417712194372
55,264,0,0.0002474773763506706,-1.2028815559550416e-07,1.2028815559550416e-07,0.15098050721980816
55,339,0,0.00016204402455898345,1.2384399531955983e-05,1.2384399531955983e-05,0.764568317570489
55,348,0,0.0002053252759786299,-1.3404822559004214e-05,1.3404822559004214e-05,0.4651162117357693
55,483,0,0.00018440061659454494,-6.378205100503079e-07,6.378205100503079e-07,0.2222044655632531
56,148,0,0.0002327090949164258,1.3754458885583755e-05,1.3754458885583755e-05,0.3954948732593614
56,215,0,0.00017906627129215763,2.6608149160558037e-06,2.6608149160558037e-06,0.16047149038830505
56,244,0,4.332677794369691e-05,1.0774085629471795e-06,1.0774085629471795e-06,0.18229455919749868
56,256,0,9.911202691216585e-05,5.970064919977277e-07,5.970064919977277e-07,0.14753405512193346
56,356,0,0.00026085442290623453,1.592064927623705e-05,1.592064927623705e-05,0.738864452703019
57,168,0,0.00021398994082143398,1.2667126162076902e-05,1.2667126162076902e-05,0.7326403632870306
57,265,0,0.00017963588638215865,-1.8627043790158423e-06,1.8627043790158423e-06,0.03803056611877339
57,326,0,0.0002072107835851885,-1.681239772097061e-05,1.681239772097061e-05,0.8542229045928883
58,178,0,0.00022034309934036342,2.868678441784561e-05,2.868678441784561e-05,0.9811731673104724
58,186,0,0.00021410644546083558,2.1254129374005117e-06,2.1254129374005117e-06,0.11314418059307511
58,350,0,0.00023933462129471764,-2.2138945155283103e-05,2.2138945155283103e-05,0.621092961213206
