atom_id,atom_type,x_m,y_m,z_m,radius_m,high_conductivity,temperature_K,contact_degree,absolute_heat_throughput_W,hot_wall_link,cold_wall_link,on_minimum_resistance_path
71,1,0.00294313,0.00540802,0.00424802,0.00075,0,300.75233544479556,4,7.919227356855158e-06,0,0,0
72,1,0.00202257,0.0139033,0.0111178,0.00075,0,300.3020479299739,3,2.2648809654339566e-05,0,0,0
73,1,0.00319117,0.000773919,0.00404224,0.00075,0,300.7730424915484,4,3.669249338499221e-05,0,0,0
74,1,0.00411156,0.0111401,0.00131896,0.00075,0,300.93197213390147,4,3.0309989999761874e-05,0,0,0
75,1,0.00365903,0.00848651,0.0109622,0.00075,0,300.26167873259953,3,1.654052748398298e-05,0,0,0
76,1,0.0139297,0.00441449,0.000810209,0.00075,0,300.92649923716215,4,1.2280791278815026e-05,0,0,0
77,1,0.0132174,0.0116445,0.00633496,0.00075,0,300.59801863738016,3,1.5596459054333396e-05,0,0,0
78,1,0.0152694,0.0114629,0.000730223,0.00075,0,300.9617306195018,2,9.321638702207337e-06,1,0,0
79,1,2.10957e-05,0.0124219,0.0128926,0.00075,0,300.15151242570784,2,7.913708220881839e-20,0,0,0
80,1,0.00812884,0.00672759,0.00191333,0.00075,0,300.8889094708257,6,4.9678411131974434e-05,0,0,0
81,1,0.0139239,0.0132632,0.0116239,0.00075,0,300.3307690278331,4,1.9176618160252096e-05,0,0,0
82,1,0.0143449,0.00874883,0.0113934,0.00075,0,300.2832680574892,3,2.0078598196679023e-05,0,0,0
83,1,0.00970284,0.0148041,0.0072549,0.00075,0,300.5181467282759,5,4.0823065748258514e-05,0,0,0
84,1,0.0141921,0.0016198,0.00281419,0.00075,0,300.9087722021727,1,0.0,0,0,0
85,1,0.0124835,0.0087772,0.00175103,0.00075,0,300.87946351650146,6,5.875287556522739e-05,0,0,0
86,1,0.00855338,0.00550281,0.00613339,0.00075,0,300.60792577021783,3,1.3277994104493212e-05,0,0,0
87,1,0.00574114,0.00670103,0.000719644,0.00075,0,300.95407618399753,2,1.3858648113161014e-05,1,0,0
88,1,0.00946706,0.00689528,0.0146936,0.00075,0,300.03896580692015,3,1.8230686464785264e-05,0,1,0
89,1,0.0108709,0.0145836,0.0146587,0.00075,0,300.0499658870833,2,1.6884954009644808e-05,0,1,0
90,1,0.0119734,0.000960034,0.00193928,0.00075,0,300.90255532296254,3,2.7029108051204758e-05,0,0,0
91,1,0.000840014,0.000597723,0.00628912,0.00075,1,300.6205179945217,6,0.00037741056871595574,0,0,0
92,1,0.0127506,0.0149793,0.00864884,0.00075,0,300.5168165195134,3,1.2668741478308596e-05,0,0,0
93,1,0.00327322,0.000392376,0.00893675,0.00075,0,300.4421896910212,5,3.817270070589475e-05,0,0,0
94,1,0.01105,0.00419438,0.0114617,0.00075,0,300.26374959143413,4,2.9826741633798334e-05,0,0,0
95,1,0.000918659,0.00812926,0.0147495,0.00075,1,300.043604663756,3,0.0002713064823296563,0,1,1
96,1,0.000769681,0.0133036,0.0139116,0.00075,0,300.0942977133646,3,1.8093020306845958e-05,0,0,0
97,1,0.00339048,0.0115744,0.0120943,0.00075,0,300.24772169279595,4,3.329806784219846e-05,0,0,0
98,1,0.00954842,0.00167467,0.000636293,0.00075,0,300.9470626916246,4,3.131908041358453e-05,1,0,0
99,1,0.00747248,0.00193563,0.00762142,0.00075,0,300.5252295640166,4,3.789757430006014e-05,0,0,0
100,1,0.00501008,0.00690803,0.0134989,0.00075,1,300.1447507644094,6,0.0004821507021054712,0,0,0
101,2,0.00968778,0.0110666,0.000939472,0.001,0,300.9231697819193,5,4.012297506466071e-05,1,0,0
102,2,0.012526,0.00349482,0.000923494,0.001,0,300.9396497568518,7,4.1735265014736975e-05,1,0,0
103,2,0.0110664,0.00219539,0.0112643,0.001,0,300.23251963277534,5,8.263853229040878e-05,0,0,0
104,2,0.000355866,0.00506505,0.00096501,0.001,0,300.95671907563946,5,1.619192540588124e-05,1,0,0
105,2,0.00815764,0.00155739,0.00468163,0.001,0,300.7024501864182,7,8.148954118804906e-05,0,0,0
106,2,0.00379715,0.00221146,0.0103515,0.001,0,300.29764225475714,7,9.168913300330422e-05,0,0,0
107,2,0.00562145,0.0141155,0.0106443,0.001,0,300.29765049677343,4,4.388902796347179e-05,0,0,0
108,2,0.0047149,0.001044,0.000983718,0.001,0,300.95187761202203,2,1.4365878265729733e-05,1,0,0
109,2,0.0144644,0.0100909,0.00140118,0.001,0,300.9168121655066,5,3.75317241719978e-05,0,0,0
110,2,0.00650561,0.0124136,0.000884147,0.001,0,300.95637956000644,4,4.4488736608444744e-05,1,0,0
111,2,0.00785746,0.0103366,0.00103145,0.001,0,300.8920147901721,5,5.938884063431137e-05,0,0,0
112,2,0.0120908,0.00355286,0.0127108,0.001,0,300.13688326517166,5,4.910376353239849e-05,0,0,0
113,2,0.0137511,0.0112117,0.00349255,0.001,0,300.78452442607886,6,4.197757199214738e-05,0,0,0
114,2,0.00508388,0.0139401,0.00632774,0.001,0,300.60839655742063,6,5.006363091159534e-05,0,0,0
115,2,0.00638442,0.00655959,0.014431,0.001,0,300.07174566951863,4,3.567709807005544e-05,0,1,0
116,2,0.0032663,0.00252057,0.000871886,0.001,0,300.9378978328133,4,5.663401929196095e-05,1,0,0
117,2,0.00706742,0.00700147,0.0108788,0.001,1,300.26440459097654,6,0.00024869530211470885,0,0,0
118,2,0.00470819,0.0124864,0.00514439,0.001,0,300.6628743461683,7,8.123531217108773e-05,0,0,0
119,2,0.00538559,0.0145562,0.00093035,0.001,0,300.96148960860796,4,2.502661377474633e-05,1,0,0
120,2,0.000887498,0.00319027,0.00397745,0.001,0,300.7456811597491,3,2.2277376272913388e-05,0,0,0
121,2,0.00456288,0.00532131,0.0036275,0.001,0,300.74720253769215,5,5.580255965864431e-05,0,0,0
122,2,0.0112451,0.00258122,0.0141094,0.001,0,300.0934462912841,5,6.671819496681975e-05,0,0,0
123,2,0.000890145,0.00223572,0.0102524,0.001,1,300.3249579675251,6,0.0006427787685752409,0,0,0
124,2,0.0145371,0.0134171,0.0143886,0.001,0,300.0614835115187,4,1.6870827190751625e-05,0,1,0
125,2,0.0138481,0.00660686,0.00474022,0.001,0,300.72155900592946,3,4.0996212566722266e-05,0,0,0
126,2,0.00623783,0.0100748,0.0135859,0.001,0,300.1366843545443,6,6.629759166966006e-05,0,0,0
127,2,0.000544785,0.0137134,0.00885746,0.001,0,300.4898936495045,6,6.524002904074501e-05,0,0,0
128,2,0.000154724,0.0073296,0.000870085,0.001,1,300.95743895993206,5,0.0003078375181737032,1,0,1
129,2,0.014849,0.00153167,0.014381,0.001,0,300.0301621823804,3,6.141683840221764e-06,0,1,0
130,2,0.00435341,0.00823317,0.0126542,0.001,1,300.20168497705816,8,0.00032014159727225094,0,0,0
131,2,0.00985779,0.00815529,0.00388315,0.001,0,300.7569348017284,7,7.943556024243002e-05,0,0,0
132,2,0.0100439,0.00330211,0.0124968,0.001,0,300.1902054016176,5,5.0456129683342955e-05,0,0,0
133,2,0.0065924,0.00527887,0.0125227,0.001,0,300.1875529284593,5,3.904394610859577e-05,0,0,0
134,2,0.0138307,0.0113549,0.0128799,0.001,0,300.179311297082,5,8.104123117299259e-05,0,0,0
135,2,0.00964616,0.00644989,0.00520181,0.001,0,300.6529854029073,9,0.0001008576744975833,0,0,0
136,2,0.00827685,0.0147628,0.00814513,0.001,0,300.47705335818824,8,8.998158279653296e-05,0,0,0
137,2,0.00983731,0.00711561,0.0129465,0.001,0,300.0477295712569,1,0.0,0,0,0
138,2,0.00450206,0.00480361,0.0119904,0.001,0,300.183387218793,3,8.906046225313757e-06,0,0,0
139,2,0.00846184,0.00490389,0.0126128,0.001,0,300.17524744605646,6,6.78133159188554e-05,0,0,0
140,2,0.0134074,0.0094787,0.0127003,0.001,0,300.17046621359475,6,5.4788167683034265e-05,0,0,0
141,2,0.0120181,0.00811492,0.0125764,0.001,0,300.200956556056,5,6.434933330217143e-05,0,0,0
142,2,0.00772678,0.00808528,0.000953171,0.001,0,300.92832938803826,3,3.1019054104858556e-05,1,0,0
143,2,0.00608817,0.00820031,0.0133661,0.001,0,300.1563333155267,6,5.552493548777677e-05,0,0,0
144,2,0.0012251,0.0115874,0.0109257,0.001,0,300.32411081210233,4,2.4339516088659938e-05,0,0,0
145,2,0.0109118,0.00251323,0.000948249,0.001,0,300.9350417396376,5,4.254367635380674e-05,1,0,0
146,2,0.00088105,0.0150072,0.0105034,0.001,0,300.3747013029044,7,0.00011549087435282715,0,0,0
147,2,0.00358557,0.00806951,0.00525681,0.001,0,300.6457899196953,5,5.914984814326108e-05,0,0,0
148,2,0.0109869,0.0080267,0.00127195,0.001,0,300.9250597826245,7,7.92368440193243e-05,0,0,0
149,2,0.0124435,0.0146398,0.0116824,0.001,0,300.26704520079704,6,0.00010216380821453823,0,0,0
150,2,0.00854676,0.00257448,0.0136897,0.001,0,300.1052116803993,6,4.631984757934666e-05,0,0,0
151,2,0.00672295,0.000346097,0.0087875,0.001,0,300.4477093210982,5,8.538428801583562e-05,0,0,0
152,2,0.00717064,0.00382324,0.00437199,0.001,0,300.70535100272923,5,3.619866722222975e-05,0,0,0
153,2,0.00606834,0.00901907,0.00820549,0.001,0,300.450475087149,3,2.223853113263118e-05,0,0,0
154,2,0.00893611,0.0127031,0.00164658,0.001,0,300.88332912349614,7,7.316178683201043e-05,0,0,0
155,2,0.012581,0.00928693,0.00778731,0.001,0,300.501989071321,7,0.00010536263242806064,0,0,0
156,2,0.00999947,0.0108406,0.00787277,0.001,0,300.5157061074036,6,5.0101577741419925e-05,0,0,0
157,2,0.00885009,0.00379943,0.0110525,0.001,0,300.23151223548155,5,3.956159701498047e-05,0,0,0
158,2,0.00402451,0.00421498,0.0051619,0.001,0,300.67572073818775,5,4.966676633110694e-05,0,0,0
159,2,0.00763007,0.0127637,0.00294432,0.001,0,300.79511707367055,6,7.913188508243974e-05,0,0,0
